,LocationID,Borough,Zone,service_zone,geometry
132,133,Brooklyn,Kensington,Boro Zone,"POLYGON ((-73.971694 40.6452149, -73.96969399999999 40.6452149, -73.96969399999999 40.647214899999994, -73.971694 40.647214899999994, -73.971694 40.6452149))"
133,134,Queens,Kew Gardens,Boro Zone,"POLYGON ((-73.831742 40.7129415, -73.829742 40.7129415, -73.829742 40.714941499999995, -73.831742 40.714941499999995, -73.831742 40.7129415))"
134,135,Queens,Kew Gardens Hills,Boro Zone,"POLYGON ((-73.8220513 40.7277129, -73.8219894 40.7275923, -73.8219816 40.7275947, -73.8219215 40.7274776, -73.8218407 40.7275016, -73.8217925 40.7274077, -73.8218144 40.7274012, -73.8218074 40.7273878, -73.8218266 40.7273821, -73.8217562 40.7272448, -73.8217464 40.7272477, -73.8217397 40.7272347, -73.8216324 40.7272665, -73.8215862 40.7271765, -73.8214562 40.7272151, -73.8215012 40.7273028, -73.8214122 40.7273292, -73.8214976 40.7274958, -73.8215865 40.7274694, -73.82163 40.7275542, -73.8215767 40.72757, -73.8216191 40.7276527, -73.8215611 40.7276698, -73.8215773 40.7277015, -73.8216353 40.7276843, -73.8216985 40.7278073, -73.8217031 40.7278163, -73.8220513 40.7277129))"
135,136,Bronx,Kingsbridge Heights,Boro Zone,"POLYGON ((-73.9036619 40.8715702, -73.9016619 40.8715702, -73.9016619 40.873570199999996, -73.9036619 40.873570199999996, -73.9036619 40.8715702))"
136,137,Manhattan,Kips Bay,Yellow Zone,"POLYGON ((-73.9780832 40.7385463, -73.97608319999999 40.7385463, -73.97608319999999 40.7405463, -73.9780832 40.7405463, -73.9780832 40.7385463))"
137,138,Queens,LaGuardia Airport,Airports,"POLYGON ((-73.8892502 40.773079, -73.8892394 40.773015, -73.8891979 40.7729988, -73.8891845 40.7729307, -73.8892193 40.7729094, -73.8892059 40.7728424, -73.8891697 40.7728282, -73.8891576 40.7727601, -73.8891885 40.7727439, -73.8891778 40.7726758, -73.8891362 40.7726575, -73.8891241 40.7725976, -73.8891563 40.7725783, -73.8891482 40.7725103, -73.8891053 40.772494, -73.8890919 40.772429, -73.8891281 40.7724067, -73.8891147 40.7723407, -73.8890745 40.7723275, -73.8890559 40.7722744, -73.8890844 40.772245, -73.8890701 40.7721909, -73.889026 40.772181, -73.8890143 40.7721271, -73.8890494 40.7721004, -73.8890312 40.7720394, -73.8889922 40.7720177, -73.8889793 40.7719689, -73.8890089 40.7719401, -73.8890004 40.7718756, -73.8889621 40.7718628, -73.8889536 40.7717951, -73.8889767 40.7717744, -73.8889547 40.7717007, -73.8890019 40.7716787, -73.8890019 40.7716262, -73.8889192 40.7715686, -73.888908 40.7715415, -73.8889639 40.7714822, -73.8889572 40.7714483, -73.8889169 40.7714365, -73.8888924 40.7713716, -73.8889248 40.771348, -73.8889145 40.7712871, -73.8888387 40.7712535, -73.888832 40.7712231, -73.8888923 40.771179, -73.8888824 40.7711184, -73.8887982 40.7710841, -73.8887918 40.7710228, -73.8888306 40.7710031, -73.8888177 40.7709418, -73.8887691 40.7709148, -73.8887571 40.7708634, -73.8887951 40.7708376, -73.8887811 40.7707468, -73.8887331 40.7707241, -73.8887271 40.7706635, -73.8887571 40.7706362, -73.8887451 40.7705757, -73.8887031 40.770553, -73.8886891 40.7704924, -73.8887191 40.7704591, -73.8887051 40.7703985, -73.8886691 40.7703834, -73.8886571 40.7703153, -73.8886831 40.7703032, -73.8886692 40.7702336, -73.8886671 40.7702229, -73.8886331 40.7702123, -73.8886171 40.7701411, -73.8886531 40.7701169, -73.8886411 40.7700503, -73.8885932 40.7700367, -73.8885912 40.7699776, -73.8886211 40.7699534, -73.8886052 40.7698853, -73.8886311 40.7698626, -73.8886191 40.7697944, -73.8886591 40.7697672, -73.8886371 40.769699, -73.8886032 40.7696915, -73.8885892 40.7696309, -73.8885492 40.7696082, -73.8885432 40.7695476, -73.8885992 40.7694992, -73.8885912 40.7694416, -73.8885432 40.7694189, -73.8885352 40.7693478, -73.8885712 40.7693266, -73.8885532 40.769263, -73.8885112 40.7692509, -73.8884992 40.7691888, -73.8885272 40.7691646, -73.8885143 40.7690925, -73.888479 40.7690757, -73.8884463 40.7690242, -73.8883549 40.7689985, -73.8883262 40.7689698, -73.8882465 40.7689579, -73.8882138 40.7689817, -73.8881394 40.7689392, -73.888142 40.7689085, -73.8880714 40.768865, -73.8880728 40.7688007, -73.8880362 40.7687819, -73.888031 40.7687146, -73.8879706 40.7686779, -73.8879301 40.7685478, -73.8878644 40.7683365, -73.8878587 40.7683016, -73.887861 40.7682882, -73.8878886 40.7682635, -73.8878781 40.7682061, -73.8878376 40.7681843, -73.8878128 40.7681111, -73.8878442 40.7680874, -73.8878285 40.7680241, -73.8877841 40.7680092, -73.8877671 40.7679439, -73.8877984 40.7679222, -73.8877802 40.7678539, -73.8877411 40.7678431, -73.8877201 40.7677748, -73.8877462 40.767754, -73.8877266 40.7676887, -73.8876874 40.7676709, -73.8876678 40.7676125, -73.8876952 40.7675828, -73.8876199 40.7673383, -73.8867634 40.7675318, -73.8864074 40.7675927, -73.8858735 40.7676587, -73.885396 40.7677441, -73.8851569 40.7678093, -73.8848707 40.767912, -73.8845381 40.7680299, -73.8842553 40.7681341, -73.8838861 40.7682737, -73.8834332 40.7684583, -73.8830257 40.7686478, -73.8825726 40.7688637, -73.8822739 40.7690146, -73.8813228 40.7695394, -73.8804907 40.7700335, -73.8794145 40.7705643, -73.8788763 40.770829, -73.878521 40.7709854, -73.8781078 40.7711476, -73.8778952 40.7712259, -73.8774403 40.7713739, -73.8769428 40.7715191, -73.8763397 40.7716629, -73.8755877 40.7717751, -73.8749701 40.771862, -73.8743087 40.7719231, -73.8738635 40.771946, -73.8733999 40.7719474, -73.8729633 40.7719329, -73.8725634 40.7719058, -73.8722418 40.7718787, -73.8720015 40.7718513, -73.8716812 40.771795, -73.8713558 40.7717327, -73.8710318 40.771663, -73.8706402 40.7715609, -73.8703954 40.7714843, -73.8701345 40.7713994, -73.8697847 40.7712697, -73.8695003 40.7711534, -73.8690476 40.7709421, -73.8687922 40.7708088, -73.8684659 40.7706325, -73.868049 40.7703866, -73.8676872 40.7701555, -73.8672605 40.7698709, -73.8668274 40.7695801, -73.866539 40.7693757, -73.8662144 40.7691315, -73.8659219 40.7689098, -73.8656624 40.7687087, -73.865383 40.7684893, -73.8649874 40.7681666, -73.8644193 40.7676816, -73.8638625 40.7671208, -73.8633165 40.7665517, -73.8631912 40.766607, -73.8627649 40.7667537, -73.8626152 40.7668366, -73.8613995 40.7669443, -73.8608684 40.7672531, -73.8600047 40.7670865, -73.859479 40.7670581, -73.8590334 40.7672268, -73.8584877 40.7676867, -73.8571932 40.7687633, -73.8562936 40.7688594, -73.8533696 40.7674055, -73.8531228 40.7672755, -73.8529512 40.7671293, -73.8516101 40.7650084, -73.8514882 40.7649635, -73.8513893 40.7649593, -73.8512559 40.7650556, -73.851225 40.7651304, -73.8512821 40.7653263, -73.8514283 40.7656091, -73.8523953 40.7670718, -73.8528416 40.7676182, -73.8562038 40.7691813, -73.8568676 40.7695359, -73.8574852 40.7698474, -73.857656 40.7699927, -73.857604 40.7700848, -73.8576462 40.7701276, -73.8578303 40.7701977, -73.8579405 40.7701778, -73.8580774 40.7701999, -73.8581296 40.7703536, -73.858002 40.7704024, -73.8579306 40.7704814, -73.8578992 40.7705258, -73.8579595 40.7706005, -73.8579548 40.7706568, -73.8578325 40.7707786, -73.8577432 40.7707633, -73.8575238 40.770651, -73.8569307 40.7703447, -73.8568188 40.7702738, -73.8567528 40.7702677, -73.8566463 40.7702406, -73.8565515 40.770252, -73.8563916 40.7703473, -73.8558628 40.7709637, -73.8557587 40.771118, -73.855543 40.7713774, -73.8552301 40.7716756, -73.8549906 40.7719336, -73.8549717 40.7720922, -73.8549936 40.7721727, -73.8550775 40.7722626, -73.8552102 40.7723487, -73.85552 40.7725094, -73.8559383 40.7727155, -73.856225 40.7728543, -73.8563117 40.7729096, -73.8563887 40.7729188, -73.856518 40.7729818, -73.8567131 40.7730016, -73.8569737 40.7731036, -73.8570572 40.7731737, -73.8571606 40.7732286, -73.8572239 40.7732941, -73.8573651 40.7733487, -73.8575606 40.7734713, -73.8576685 40.7735006, -73.8579742 40.7736446, -73.8582126 40.7737461, -73.8587849 40.7740162, -73.8588605 40.774076, -73.8590356 40.7741435, -73.8591062 40.7741916, -73.8591721 40.7742058, -73.8593353 40.7742922, -73.8594569 40.7743258, -73.8595533 40.7743934, -73.8595981 40.7743901, -73.8596505 40.7744315, -73.8597992 40.774503, -73.8598541 40.7745051, -73.8600666 40.7746298, -73.8602461 40.774669, -73.8603476 40.7747261, -73.8605808 40.7747935, -73.8608775 40.774941, -73.8610019 40.7750348, -73.861271 40.7751954, -73.8615743 40.775322, -73.8619568 40.7755282, -73.8624528 40.775764, -73.8626497 40.7758386, -73.8629879 40.7760454, -73.8631577 40.7761046, -73.8633781 40.7762137, -73.8634794 40.7763015, -73.8638821 40.7764943, -73.8641316 40.7765504, -73.8648509 40.776946, -73.8652355 40.7771796, -73.8653554 40.7771313, -73.8655736 40.7772523, -73.866063 40.7774909, -73.8661057 40.7775617, -73.8662612 40.77764, -73.8664223 40.7776573, -73.8671953 40.7780473, -73.8674556 40.7781606, -73.8679336 40.7783944, -73.8684454 40.7785576, -73.8690399 40.7788882, -73.8696573 40.7792073, -73.8700552 40.7793934, -73.8701659 40.7795085, -73.8702344 40.7795861, -73.8704283 40.7796631, -73.8705029 40.7796566, -73.8712605 40.7800611, -73.8721508 40.7805063, -73.8722822 40.7806586, -73.8725505 40.7808211, -73.8723259 40.7810928, -73.8723005 40.7811235, -73.8715057 40.7820851, -73.8714508 40.7821349, -73.8713636 40.7821603, -73.8704641 40.7823259, -73.8694065 40.7835977, -73.8694102 40.7836145, -73.8694158 40.7836327, -73.8698689 40.7850805, -73.8693499 40.7857091, -73.8693633 40.7857175, -73.8694082 40.7857387, -73.8708975 40.7864458, -73.8748226 40.7816841, -73.8751361 40.7815015, -73.8788889 40.7832824, -73.8798437 40.7821431, -73.8790213 40.7817442, -73.8788567 40.7811511, -73.8787062 40.7806086, -73.8788055 40.7806162, -73.8788726 40.7806557, -73.8789776 40.7806563, -73.8790536 40.7806295, -73.8791379 40.7806541, -73.879203 40.7807032, -73.879217 40.7807967, -73.8793038 40.7807928, -73.879297 40.7807499, -73.8793741 40.7807252, -73.879448 40.7807275, -73.8794583 40.7809249, -73.8796016 40.7809298, -73.879598 40.7807265, -73.879668 40.7806216, -73.8798721 40.7806195, -73.8801454 40.7805708, -73.8807695 40.7804956, -73.8809255 40.7805335, -73.8811878 40.7805681, -73.8814923 40.7805372, -73.8816576 40.7804431, -73.8818854 40.7804665, -73.8821358 40.7803978, -73.882391 40.7803602, -73.8827288 40.7802151, -73.8828717 40.7801999, -73.8828997 40.7802931, -73.8832146 40.7802708, -73.8832657 40.7801839, -73.8833842 40.7802305, -73.883495 40.7802421, -73.8835755 40.7802308, -73.8837019 40.7802573, -73.8844308 40.7801517, -73.8848687 40.7799817, -73.8849514 40.7797963, -73.8849779 40.7796304, -73.8850107 40.7795736, -73.8851083 40.7795258, -73.8851182 40.7795125, -73.8851638 40.779421, -73.8850399 40.7793321, -73.8850609 40.7790121, -73.8849974 40.778899, -73.8849843 40.778702, -73.884997 40.7786411, -73.885003 40.7785563, -73.8849601 40.7785035, -73.8848016 40.7776606, -73.8846101 40.7769561, -73.8844021 40.7759061, -73.8843734 40.775665, -73.8843385 40.7755584, -73.8842057 40.7754467, -73.8844243 40.7754304, -73.8846443 40.7753927, -73.8847696 40.7752931, -73.8848448 40.7750981, -73.8847616 40.7748363, -73.8846141 40.7744524, -73.8845363 40.7743813, -73.8844304 40.7743285, -73.8843353 40.7742748, -73.884256 40.7742676, -73.8841367 40.7742026, -73.8840767 40.7741909, -73.8838923 40.7741914, -73.883877 40.7741197, -73.8841649 40.7740917, -73.8842665 40.7741627, -73.8857569 40.774007, -73.8857851 40.7740055, -73.8876262 40.7738118, -73.8877503 40.7737188, -73.888918 40.7736047, -73.8892438 40.7735728, -73.8891858 40.773338, -73.8892254 40.7731287, -73.889214 40.7730953, -73.8892502 40.773079))"
138,139,Queens,Laurelton,Boro Zone,"POLYGON ((-73.7525212 40.665770300000005, -73.7505212 40.665770300000005, -73.7505212 40.6677703, -73.7525212 40.6677703, -73.7525212 40.665770300000005))"
139,140,Manhattan,Lenox Hill East,Yellow Zone,"POLYGON ((-73.9600168 40.7654366, -73.9580168 40.7654366, -73.9580168 40.767436599999996, -73.9600168 40.767436599999996, -73.9600168 40.7654366))"
140,141,Manhattan,Lenox Hill West,Yellow Zone,
141,142,Manhattan,Lincoln Square East,Yellow Zone,
142,143,Manhattan,Lincoln Square West,Yellow Zone,
143,144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"POLYGON ((-73.99921520000001 40.7182728, -73.9972152 40.7182728, -73.9972152 40.7202728, -73.99921520000001 40.7202728, -73.99921520000001 40.7182728))"
144,145,Queens,Long Island City/Hunters Point,Boro Zone,"POLYGON ((-73.9494995 40.7445316, -73.94749949999999 40.7445316, -73.94749949999999 40.7465316, -73.9494995 40.7465316, -73.9494995 40.7445316))"
145,146,Queens,Long Island City/Queens Plaza,Boro Zone,"POLYGON ((-73.9494995 40.7445316, -73.94749949999999 40.7445316, -73.94749949999999 40.7465316, -73.9494995 40.7465316, -73.9494995 40.7445316))"
146,147,Bronx,Longwood,Boro Zone,"POLYGON ((-73.8972205 40.8152916, -73.8952205 40.8152916, -73.8952205 40.8172916, -73.8972205 40.8172916, -73.8972205 40.8152916))"
147,148,Manhattan,Lower East Side,Yellow Zone,"POLYGON ((-73.98780570000001 40.714935700000005, -73.9858057 40.714935700000005, -73.9858057 40.7169357, -73.98780570000001 40.7169357, -73.98780570000001 40.714935700000005))"
148,149,Brooklyn,Madison,Boro Zone,"POLYGON ((-73.99933320000001 40.7110612, -73.9973332 40.7110612, -73.9973332 40.7130612, -73.99933320000001 40.7130612, -73.99933320000001 40.7110612))"
149,150,Brooklyn,Manhattan Beach,Boro Zone,"POLYGON ((-73.94508330000001 40.5769176, -73.9430833 40.5769176, -73.9430833 40.5789176, -73.94508330000001 40.5789176, -73.94508330000001 40.5769176))"
150,151,Manhattan,Manhattan Valley,Yellow Zone,"POLYGON ((-73.970726 40.796014400000004, -73.96872599999999 40.796014400000004, -73.96872599999999 40.7980144, -73.970726 40.7980144, -73.970726 40.796014400000004))"
151,152,Manhattan,Manhattanville,Boro Zone,"POLYGON ((-73.952554 40.814777500000005, -73.950554 40.814777500000005, -73.950554 40.8167775, -73.952554 40.8167775, -73.952554 40.814777500000005))"
152,153,Manhattan,Marble Hill,Boro Zone,"POLYGON ((-73.9114292 40.875298300000004, -73.90942919999999 40.875298300000004, -73.90942919999999 40.8772983, -73.9114292 40.8772983, -73.9114292 40.875298300000004))"
153,154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,"MULTIPOLYGON (((-73.9390593 40.6074376, -73.9390247 40.6074051, -73.938495 40.606908, -73.9383511 40.606992, -73.938322 40.606967, -73.9379088 40.6066125, -73.9380821 40.6061985, -73.9383155 40.6060376, -73.9342731 40.6023514, -73.933521 40.6028453, -73.9300851 40.6050747, -73.9300705 40.6051209, -73.9335073 40.6082028, -73.9341956 40.6077502, -73.9360286 40.6093818, -73.9361134 40.6093547, -73.9390593 40.6074376)), ((-73.9333946 40.6026709, -73.927913 40.5977461, -73.9281169 40.5976159, -73.9293058 40.596853, -73.9293032 40.596771, -73.9287557 40.5963157, -73.9283596 40.5964802, -73.9282401 40.5964625, -73.9276456 40.5959122, -73.9275627 40.5959475, -73.9270415 40.5954991, -73.9274851 40.5951511, -73.9274119 40.5950637, -73.9272298 40.5948845, -73.9264181 40.5941628, -73.9260713 40.5938571, -73.925569 40.5934013, -73.9254116 40.5932628, -73.9248085 40.5927191, -73.9239897 40.5919876, -73.9235033 40.5915462, -73.9233762 40.5914425, -73.9222804 40.5904545, -73.9217196 40.58995, -73.9214943 40.5897584, -73.9209535 40.5892589, -73.9207757 40.5891033, -73.9197331 40.5881503, -73.9186687 40.5872031, -73.9185261 40.5871521, -73.9182256 40.5868778, -73.9182319 40.5868198, -73.9179539 40.5866071, -73.9176555 40.5870926, -73.9176423 40.5871049, -73.9173551 40.5873728, -73.9161964 40.5878943, -73.9141708 40.5888264, -73.9141355 40.5894634, -73.9145227 40.5899735, -73.9148596 40.5902175, -73.9150806 40.5903776, -73.9157021 40.5907497, -73.9164797 40.5910946, -73.9171148 40.5919549, -73.9172548 40.591944, -73.917544 40.592372, -73.9182478 40.5931346, -73.9186335 40.5932847, -73.9190718 40.5937798, -73.9196812 40.594197, -73.9197603 40.5942635, -73.9203249 40.5947379, -73.9204178 40.5947726, -73.9208485 40.5949334, -73.9211271 40.594908, -73.9219042 40.5951876, -73.9220774 40.5953943, -73.9225479 40.5961522, -73.9227625 40.596263, -73.9228826 40.5962695, -73.9229341 40.5964911, -73.9234835 40.5968951, -73.9241701 40.5974882, -73.9246867 40.5978505, -73.9252172 40.5983941, -73.9259468 40.5988763, -73.9264875 40.599326, -73.9268995 40.5995867, -73.9273802 40.6000298, -73.9281866 40.6004171, -73.9282659 40.6004716, -73.9283265 40.6004964, -73.9284053 40.6005467, -73.9286848 40.6006098, -73.9286762 40.6003817, -73.9291866 40.6005042, -73.9293221 40.6006053, -73.929174 40.600864, -73.9296976 40.6011963, -73.9302126 40.6012224, -73.9308048 40.6016525, -73.931631 40.6023258, -73.9316951 40.6025062, -73.9317214 40.6025804, -73.9318004 40.602643, -73.9320824 40.6026839, -73.9321252 40.6028446, -73.9319378 40.6031122, -73.9317146 40.6032491, -73.9313198 40.6035814, -73.9311567 40.6038616, -73.9309765 40.6039138, -73.9307705 40.6037313, -73.9304872 40.6037052, -73.9302898 40.6038225, -73.9302059 40.6039819, -73.9301544 40.6040297, -73.9300958 40.6040094, -73.930126 40.6039706, -73.9300581 40.6037899, -73.9299379 40.6036922, -73.9294881 40.6038491, -73.9294735 40.6039291, -73.9293824 40.6040222, -73.9292394 40.603996, -73.9291818 40.6038281, -73.9290306 40.6037751, -73.9290166 40.6036922, -73.929493 40.6033969, -73.929616 40.6031779, -73.929665 40.6030359, -73.9296504 40.6029418, -73.9296197 40.6028747, -73.9295762 40.6027718, -73.9295006 40.6026881, -73.9294148 40.6026596, -73.9290613 40.6025027, -73.9290005 40.6024796, -73.9289553 40.602442, -73.9289071 40.6023905, -73.9288692 40.6023453, -73.9288353 40.6022864, -73.9288607 40.6022573, -73.9288513 40.6022222, -73.9288435 40.6021923, -73.9288133 40.6021863, -73.9287839 40.6021969, -73.9287495 40.6022277, -73.9287213 40.6022517, -73.9286526 40.602267, -73.9285908 40.6022593, -73.9285129 40.6022267, -73.9284359 40.6022366, -73.9284388 40.6022618, -73.9284249 40.6022901, -73.9283986 40.6022853, -73.928385 40.6022509, -73.9283588 40.602223, -73.9283253 40.6022006, -73.9282634 40.6021622, -73.9282661 40.6021155, -73.9282039 40.6020388, -73.9281298 40.6019801, -73.9280483 40.6019328, -73.9279585 40.6018804, -73.92789 40.6018276, -73.9277747 40.6017448, -73.9276879 40.6016718, -73.9276332 40.6016608, -73.9275544 40.60161, -73.9275322 40.6015684, -73.9274865 40.6015422, -73.927432 40.6015022, -73.9274073 40.6014788, -73.9273516 40.601365, -73.927243 40.6012513, -73.9270664 40.6011648, -73.9268815 40.6010744, -73.9267967 40.6010054, -73.926726 40.600942, -73.9266391 40.6008811, -73.9265488 40.600793, -73.9264725 40.6007652, -73.9263956 40.6007136, -73.9263159 40.6006228, -73.9262023 40.6005723, -73.9260337 40.6005015, -73.9258381 40.600429, -73.9257267 40.6003268, -73.9254913 40.6001593, -73.9252556 40.5999976, -73.9250198 40.5998604, -73.9248224 40.5997585, -73.9245563 40.5996791, -73.9243288 40.5996326, -73.9241358 40.5996192, -73.9240386 40.5996639, -73.9239632 40.5997222, -73.9238944 40.5998161, -73.9238332 40.5999343, -73.9237528 40.6001042, -73.9235281 40.6003769, -73.9234192 40.600573, -73.9233623 40.6006911, -73.9232655 40.6009103, -73.9232426 40.6010027, -73.9231761 40.6010843, -73.9230817 40.6011729, -73.922975 40.6012424, -73.922869 40.6013555, -73.9227841 40.6014376, -73.9226612 40.6014507, -73.9223695 40.601554, -73.9223305 40.6016319, -73.9222084 40.601687, -73.9220776 40.6017225, -73.9218335 40.601759, -73.9215893 40.6017578, -73.9213542 40.6016893, -73.9211615 40.6015823, -73.9210068 40.6015402, -73.9208467 40.6014668, -73.9206983 40.6013909, -73.9205116 40.6012763, -73.9202332 40.6011211, -73.9201173 40.6010643, -73.919979 40.601033, -73.9198495 40.6009443, -73.9197028 40.6008768, -73.9195445 40.6008554, -73.9193336 40.6008773, -73.9191552 40.6008736, -73.9190056 40.6008463, -73.9187762 40.6007731, -73.9186163 40.6006996, -73.9183656 40.6005319, -73.9181508 40.6004275, -73.9180071 40.6003845, -73.9178761 40.6003863, -73.9178288 40.6003688, -73.9177895 40.600166, -73.9177103 40.6000779, -73.9174993 40.5999665, -73.9172542 40.5998757, -73.9171639 40.5998346, -73.9170476 40.5998296, -73.9169982 40.5998183, -73.9169497 40.5997671, -73.9169358 40.5997281, -73.9168248 40.5996478, -73.9166867 40.5995868, -73.9166209 40.5995325, -73.9164714 40.5995038, -73.9162893 40.5994341, -73.9161767 40.5993499, -73.9159973 40.5992759, -73.9158295 40.5992357, -73.9156943 40.5991453, -73.9155675 40.5990462, -73.91552 40.5989554, -73.9154881 40.5989014, -73.915405 40.5988585, -73.9153114 40.5988518, -73.9151374 40.598682, -73.9150892 40.5985811, -73.9150615 40.598469, -73.9149749 40.598314, -73.9149366 40.5982014, -73.914848 40.5980489, -73.9147394 40.5979538, -73.9146291 40.5978953, -73.9144976 40.5977161, -73.9143647 40.5975162, -73.9141059 40.5972378, -73.9139068 40.5970817, -73.9136866 40.5969738, -73.9135386 40.5968502, -73.9134268 40.5966559, -73.9132467 40.5962653, -73.9131202 40.5959707, -73.9130008 40.595882, -73.9125395 40.5955011, -73.9124835 40.595382, -73.912416 40.5951505, -73.9123005 40.5950231, -73.912259 40.5949403, -73.9122288 40.5948141, -73.9121801 40.5946801, -73.9121438 40.5946269, -73.9120895 40.5946045, -73.9120509 40.5945693, -73.9120184 40.5944004, -73.9119916 40.5943326, -73.9119928 40.5942893, -73.9120281 40.5940562, -73.9120778 40.5939008, -73.912035 40.5936947, -73.9120092 40.5935947, -73.9120244 40.5933821, -73.9120041 40.5932921, -73.9119559 40.5932676, -73.9119236 40.5932348, -73.911946 40.5931763, -73.9119725 40.5931731, -73.9120054 40.5931938, -73.9120333 40.5931635, -73.9120247 40.5930444, -73.9119587 40.5930211, -73.9119249 40.5929848, -73.9118682 40.5928692, -73.9118679 40.5927624, -73.9119454 40.592666, -73.9119346 40.5924992, -73.911849 40.5924125, -73.9118236 40.5923629, -73.9117537 40.5923262, -73.9117251 40.5921804, -73.911707 40.5919454, -73.9117225 40.5918406, -73.9116964 40.5916609, -73.9116343 40.5914806, -73.911575 40.5913751, -73.9115397 40.5912742, -73.9115307 40.5911355, -73.9115183 40.5909593, -73.9115514 40.5908487, -73.9115919 40.5906785, -73.9115983 40.5906106, -73.9115889 40.5903898, -73.9116183 40.5902737, -73.9116748 40.5900809, -73.9117407 40.5899281, -73.9117154 40.5898045, -73.9116948 40.5897182, -73.9117024 40.5895877, -73.9117387 40.589301, -73.9118055 40.5890449, -73.9118958 40.5888515, -73.9119282 40.5886075, -73.9119394 40.5884394, -73.9119205 40.5882725, -73.9118601 40.5880394, -73.911748 40.5876908, -73.9116767 40.5875482, -73.9116345 40.5874212, -73.9116136 40.5872927, -73.9116179 40.5871795, -73.911648 40.5871151, -73.9116773 40.5870774, -73.9117554 40.5869996, -73.911867 40.5870969, -73.9119062 40.5870842, -73.9119253 40.5870614, -73.9119919 40.5868947, -73.9120306 40.5867978, -73.9120323 40.5866398, -73.9116335 40.586917, -73.9113658 40.5872327, -73.9113258 40.5873574, -73.9113081 40.5873724, -73.9111484 40.5873318, -73.9109178 40.5873237, -73.9105422 40.5875274, -73.910207 40.5878305, -73.9097846 40.5882472, -73.9097683 40.588261, -73.9094506 40.5885912, -73.9091031 40.5891159, -73.9088724 40.5896048, -73.9084156 40.5910291, -73.9084288 40.591805, -73.9085747 40.5926328, -73.9087892 40.5933692, -73.9088625 40.5936294, -73.909742 40.5964976, -73.9112869 40.5979053, -73.9131425 40.5994275, -73.91379 40.599994, -73.9138179 40.6000184, -73.912957 40.6005862, -73.9128221 40.6006804, -73.9132276 40.601049, -73.9175804 40.6050058, -73.9199139 40.6070625, -73.9206649 40.6065697, -73.9216199 40.6074811, -73.9244293 40.6056241, -73.926256 40.6072766, -73.9297188 40.605045, -73.9297549 40.6050107, -73.9298275 40.6049667, -73.929909 40.6049259, -73.9333946 40.6026709)), ((-73.9263449 40.5846425, -73.9256654 40.5844872, -73.9246685 40.5843574, -73.9241482 40.5842616, -73.9238853 40.584229, -73.9236644 40.5842917, -73.923356 40.5842163, -73.9228651 40.5841674, -73.9225898 40.5842087, -73.9224279 40.5842733, -73.9220202 40.5843467, -73.9215196 40.5843024, -73.9208079 40.5842285, -73.9199693 40.5842779, -73.9190242 40.5843548, -73.9178655 40.5844852, -73.9174614 40.5845692, -73.9173505 40.5846196, -73.9165575 40.5847688, -73.9160228 40.5849068, -73.9154327 40.5850861, -73.9148292 40.5852654, -73.9146505 40.5853453, -73.9142052 40.5855368, -73.9139585 40.5857303, -73.9136098 40.5858687, -73.913055 40.5860431, -73.9133594 40.5860768, -73.9135271 40.5861351, -73.9137503 40.5860497, -73.9146858 40.5862452, -73.9155784 40.5862322, -73.9169947 40.5858541, -73.9170174 40.5857372, -73.9183679 40.5853522, -73.9199529 40.5846759, -73.92096 40.5846287, -73.922711 40.5846938, -73.9233976 40.5848047, -73.9241188 40.5846522, -73.925157 40.5846884, -73.9255691 40.5848373, -73.9258396 40.5849785, -73.9259726 40.5850479, -73.9259918 40.5847897, -73.9263351 40.5847816, -73.9263449 40.5846425)), ((-73.9223162 40.5984723, -73.9221016 40.5980356, -73.9219385 40.5978857, -73.9217926 40.5973774, -73.921681 40.5970515, -73.9208227 40.5963477, -73.9199644 40.5959827, -73.9185899 40.5951537, -73.917956 40.5947314, -73.9167632 40.5935961, -73.9165827 40.5929521, -73.9161278 40.5921765, -73.9151235 40.5914596, -73.9146343 40.5913814, -73.9135357 40.591792, -73.9128662 40.5919549, -73.9124542 40.5921504, -73.912849 40.5922612, -73.9130754 40.5925345, -73.9130379 40.592711, -73.9131409 40.5930629, -73.9128147 40.5940796, -73.9143511 40.5961065, -73.9148661 40.5963933, -73.9154068 40.5970711, -73.915587 40.597221, -73.9159819 40.5976185, -73.9161827 40.5982121, -73.916514 40.5982898, -73.9168716 40.5983803, -73.9178959 40.5990262, -73.9186169 40.5994563, -73.9191233 40.5996258, -73.9206768 40.5995801, -73.9220072 40.5988894, -73.9223162 40.5984723)))"
